review,rating,label_kamus,label_rating,final_label
aplikasinya oke,4,positif,positif,positif
Sangat memuaskan dan lengkap,5,,positif,positif
"punya rekening, punya atm mau daftar byond nda berhasil terus..ribet",3,negatif,negatif,negatif
kenapa lelet ych,1,,negatif,negatif
kanapa ya pdhal sado nya ada 30 tpih pas di cek saldo nya kosong GK jelas ni apk,2,,negatif,negatif
Aplikasi ini membantu untuk transaksi.,4,positif,positif,positif
"ini udah keberapa kali saya isi pulsa tapi pemberitahuan gagal tapi kenapa saldo saya di potong,kok bisa ya kyak gini,udah kesekian kali kyak gini,kesal kali makin lama makin buruk",2,negatif,negatif,negatif
mau bayar VA untuk pembayaran Tokopedia gak bisa ....,1,,negatif,negatif
bolak balik tidak bisa login ke aplikasi. buat susah jd kerjaan aja,1,negatif,negatif,negatif
ganti nama aja menjadi eror by bsi,1,,negatif,negatif
kenapa saya gabisa topup dana dan gopay? mesti selalu gagal,3,,negatif,negatif
sering error,1,negatif,negatif,negatif
Tolong dong ya yg bikin aplikasi ini yg bener deh capek ngelag terus sampe Ter log out berulang kali cape tau ga jujur ni belom rekomend bgt buat di pake,1,,negatif,negatif
"apaan coba aplikasi yang bikin ribet masa mau screenshot aja ga bisa lawak2, mana sering eror wkwk",1,negatif,negatif,negatif
"ini apk apaan bgt dahh bikin naik darah woilaa orng mau byr UKT gabisa dkit"" ada kendala laa apalaa gajelas ini tenggat waktunya udah dekat woiii plis deh dpet bntang 1 pun tak layak kurasa apk ini",1,,negatif,negatif
"sistem cek mutasi yg GX jelas,alias apk ni sangat ribet",1,negatif,negatif,negatif
"Dana terpotong tapi pulsa tidak masuk , sdh bikin laporan tapi nda ada perkembangan.",1,,negatif,negatif
"assalamualaikum pak/buk,, biyond saya kenapa ya ga bisa membuka menu sumber rek🙏🙏",3,,negatif,negatif
gagal buka rekening,1,,negatif,negatif
terlalu banyak maintenance baik di kantor cabang maupun di aplikasi. semoga segera diperbaiki.,2,negatif,negatif,negatif
Sering error,1,negatif,negatif,negatif
"mengajukan pindah akad dari mudharabah ke wadiah, di kantor cabang sudah berhasil, dan ttd diatas materai, akan tetapi di byond masih tetap mudharabah. huft ok, sudah ditangani dengan baik, thanks. ganti dari *1 jadi *4",4,positif,positif,positif
"proses pengembalian saldo terpotong sangat lama,tercatat di note 10 hari kerja,saya sudah menunggu 20 hari kerja pengembalian dana yang sudah terpotong belum juga selesai, dikujungi kantor cabang terdekat masih juga menungu persetujuan pusat,sangat sangat sangat tidak nyaman",1,negatif,negatif,negatif
"Aplikasi ini sangat bagus, membantu, mudah dan kekinian.",5,positif,positif,positif
tolong developer nya tampilkan riwayat d ana masuk dgn mudah ya.trm ksh,3,negatif,negatif,negatif
"TERIMAKASIH BYON/BSI, UNTUK UANG YANG TERDEBIT SUDAH DI KEMBALIKAN , MOHON PERHATIANNYA KASUS SERUPA TIDAK TERULANG",5,,positif,positif
"aplikasinya sangat sangat ntahlah. rata rata orang gagal di verifikasi wajah, sudah tuh disuruh ngurus ke disdukcapil untuk rekam ulang, tapi setelah scan mata dan segalanya di Capil, ternyata hasil dari capilnya aman aman aja gak perlu rekam ulang, fikss aplikasinya yang bermasalah ..",1,negatif,negatif,negatif
sering gangguan 😭😭,1,negatif,negatif,negatif
"pas mau bayar ukt kuliah padahal sudah sesuai instruksi dan NIM dan Kode nya pun sudah sesuai, tapi selalu ada notif ""nomor pelanggan yang di masukan salah"" macam mana ini",1,,negatif,negatif
saya trauma pake BSI 2x dalam jangka waktu 2 minggu transaksi saya gagal tapi saldo saya terpotong pertama 821.218 yang ke 2 177.500 mungkin bagi BANK Nominalnya tdk seberapa tapi mau sampai kapan pelayanan buruk seperti ini. gara2 kejadian ini saya langsung pindahkan dana saya semua ke BCA. kalo bukan karena gaji saya males untuk menggunakan BSI. Saya kapok n tdk mau lagi transaksi dengan BSI,1,negatif,negatif,negatif
"Top up dana, ovo lainnya selalu saja ada bermasalah dari dulu bagaimana solusinya??",1,,negatif,negatif
bagus,5,positif,positif,positif
Kegagalan QRIS dari aplikasi BYOND membuat laporan pengaduan via aplikasi tetapi setelah itu menghilang nomor pengaduan pada list pelaporan. Dan pengembalian dana yang cukup lama prosesnya sampai 8 hari masih status proses.,1,,negatif,negatif
"gak bisa buat tranfer, aplikasi aneh rusak sampah",1,,negatif,negatif
"terlalu banyak masalah nya bagus"" pakek BSI mobil malah ganti",1,negatif,negatif,negatif
"sering banget gangguan, payah dah perbankan ko ga pake IT yg profesional.",2,negatif,negatif,negatif
Aplikasi belum siap pakai. banyak error nya ga jelas,1,negatif,negatif,negatif
sudah bagus mobile banking nya cuma ada yg kurang tidak notifikasi uang keluar/masuk di luar aplikasi jadi harus login trus..,5,positif,positif,positif
aplikasinya jelek saat verifikasi wajah otomatis ketangkap tidak ada aba aba tolong di perbaiki lagi dari pihak aplikatot maupun bank bsi,1,negatif,negatif,negatif
bagus tenan,5,positif,positif,positif
"mengecewakan😔😔😔,beli pulsa gagal 3kali, terpotong pula, harus nunggu sampai 5-10 hari,parah ga jelas 😡😡😡",1,negatif,negatif,negatif
"Setor Tunai gamasuk ke rekening 🤣, ngakak banget sih,,,",1,,negatif,negatif
